銘柄,社名,業種
6390,加藤製作所,機械
6395,タダノ,機械
6406,フジテック,機械
6407,CKD,機械
6412,平和,機械
6413,理想科学工業,機械
6417,SANKYO,機械
6418,日本金銭機械,機械
6419,マースグループホールディングス,機械
6420,フクシマガリレイ,機械
6430,ダイコク電機,機械
6432,竹内製作所,機械
6436,アマノ,機械
6440,JUKI,機械
6445,ジャノメ,機械
6448,ブラザー工業,電気機器
6454,マックス,機械
6455,モリタホールディングス,輸送用機器
6457,グローリー,機械
6458,新晃工業,機械
6459,大和冷機工業,機械
6460,セガサミーホールディングス,機械
6463,TPR,機械
6464,ツバキ・ナカシマ,機械
6465,ホシザキ,機械
6471,日本精工,機械
6472,NTN,機械
6473,ジェイテクト,機械
6474,不二越,機械
6479,ミネベアミツミ,電気機器
6480,日本トムソン,機械
6481,THK,機械
6486,イーグル工業,機械
6490,PILLAR,機械
6498,キッツ,機械
6501,日立製作所,電気機器
6503,三菱電機,電気機器
6504,富士電機,電気機器
6506,安川電機,電気機器
6507,シンフォニアテクノロジー,電気機器
6508,明電舎,電気機器
6516,山洋電気,電気機器
6517,デンヨー,電気機器
6523,PHCホールディングス,電気機器
6525,KOKUSAI ELECTRIC,電気機器
6526,ソシオネクスト,電気機器
6532,ベイカレント,サービス業
6533,Orchestra Holdings,サービス業
6535,アイモバイル,サービス業
6539,MS-Japan,サービス業
6544,ジャパンエレベーターサービスホールディングス,サービス業
6560,エル・ティー・エス,サービス業
6564,ミダックホールディングス,サービス業
6571,キュービーネットホールディングス,サービス業
6572,オープングループ,サービス業
6584,三櫻工業,輸送用機器
6586,マキタ,機械
6588,東芝テック,電気機器
6590,芝浦メカトロニクス,電気機器
6592,マブチモーター,電気機器
6594,ニデック,電気機器
6615,ユー・エム・シー・エレクトロニクス,電気機器
6616,トレックス・セミコンダクター,電気機器
6617,東光高岳,電気機器
6619,ダブル・スコープ,電気機器
6620,宮越ホールディングス,不動産業
6622,ダイヘン,電気機器
6630,ヤーマン,電気機器
6632,JVCケンウッド,電気機器
6638,ミマキエンジニアリング,電気機器
6640,I-PEX,電気機器
6644,大崎電気工業,電気機器
6645,オムロン,電気機器
6651,日東工業,電気機器
6652,IDEC,電気機器
6653,正興電機製作所,電気機器
6674,ジーエス・ユアサ コーポレーション,電気機器
6699,ダイヤモンドエレクトリックホールディングス,電気機器
6701,日本電気,電気機器
6702,富士通,電気機器
6703,沖電気工業,電気機器
6706,電気興業,電気機器
6707,サンケン電気,電気機器
6718,アイホン,電気機器
6723,ルネサスエレクトロニクス,電気機器
6724,セイコーエプソン,電気機器
6727,ワコム,電気機器
6728,アルバック,電気機器
6737,EIZO,電気機器
6740,ジャパンディスプレイ,電気機器
6741,日本信号,電気機器
6742,京三製作所,電気機器
6744,能美防災,電気機器
6745,ホーチキ,電気機器
6750,エレコム,電気機器
6752,パナソニックホールディングス,電気機器
6753,シャープ,電気機器
6754,アンリツ,電気機器
6755,富士通ゼネラル,電気機器
6758,ソニーグループ,電気機器
6762,TDK,電気機器
6763,帝国通信工業,電気機器
6768,タムラ製作所,電気機器
6770,アルプスアルパイン,電気機器
6779,日本電波工業,電気機器
6785,鈴木,電気機器
6787,メイコー,電気機器
6788,日本トリム,電気機器
6794,フォスター電機,電気機器
6798,SMK,電気機器
6800,ヨコオ,電気機器
6804,ホシデン,電気機器
6806,ヒロセ電機,電気機器
6807,日本航空電子工業,電気機器
6809,TOA,電気機器
6810,マクセル,電気機器
6814,古野電気,電気機器
6817,スミダコーポレーション,電気機器
6820,アイコム,電気機器
6823,リオン,電気機器
6841,横河電機,電気機器
6844,新電元工業,電気機器
6845,アズビル,電気機器
6849,日本光電工業,電気機器
6850,チノー,電気機器
6856,堀場製作所,電気機器
6857,アドバンテスト,電気機器
6859,エスペック,電気機器
6861,キーエンス,電気機器
6866,日置電機,電気機器
6869,シスメックス,電気機器
6871,日本マイクロニクス,電気機器
6875,メガチップス,電気機器
6879,IMAGICA GROUP,情報・通信業
6902,デンソー,輸送用機器
6905,コーセル,電気機器
6908,イリソ電子工業,電気機器
6914,オプテックスグループ,電気機器
6920,レーザーテック,電気機器
6923,スタンレー電気,電気機器
6925,ウシオ電機,電気機器
6928,エノモト,電気機器
6929,日本セラミック,電気機器
6937,古河電池,電気機器
6941,山一電機,電気機器
6947,図研,電気機器
6951,日本電子,電気機器
6952,カシオ計算機,電気機器
6954,ファナック,電気機器
6958,日本シイエムケイ,電気機器
6961,エンプラス,電気機器
6962,大真空,電気機器
6963,ローム,電気機器
6965,浜松ホトニクス,電気機器
6966,三井ハイテック,電気機器
6967,新光電気工業,電気機器
6971,京セラ,電気機器
6976,太陽誘電,電気機器
6981,村田製作所,電気機器
6986,双葉電子工業,電気機器
6988,日東電工,化学
6995,東海理化電機製作所,輸送用機器
6996,ニチコン,電気機器
6997,日本ケミコン,電気機器
6999,KOA,電気機器
7003,三井E&S,機械
7004,日立造船,機械
7011,三菱重工業,機械
7012,川崎重工業,輸送用機器
7013,IHI,機械
7033,マネジメントソリューションズ,サービス業
7034,プロレド・パートナーズ,サービス業
7038,フロンティア・マネジメント,サービス業
7059,コプロ・ホールディングス,サービス業
7071,アンビスホールディングス,サービス業
7085,カーブスホールディングス,サービス業
7088,フォーラムエンジニアリング,サービス業
7092,Fast Fitness Japan,サービス業
7095,Macbee Planet,サービス業
7102,日本車輌製造,輸送用機器
7128,フルサト・マルカホールディングス,卸売業
7130,ヤマエグループホールディングス,卸売業
7148,FPG,証券、商品先物取引業
7164,全国保証,その他金融業
7167,めぶきフィナンシャルグループ,銀行業
7172,ジャパンインベストメントアドバイザー,証券、商品先物取引業
7173,東京きらぼしフィナンシャルグループ,銀行業
7180,九州フィナンシャルグループ,銀行業
7181,かんぽ生命保険,保険業
7182,ゆうちょ銀行,銀行業
7184,富山第一銀行,銀行業
7186,コンコルディア・フィナンシャルグループ,銀行業
7187,ジェイリース,その他金融業
7189,西日本フィナンシャルホールディングス,銀行業
7198,アルヒ,その他金融業
7199,プレミアグループ,その他金融業
7201,日産自動車,輸送用機器
7202,いすゞ自動車,輸送用機器
7203,トヨタ自動車,輸送用機器
7205,日野自動車,輸送用機器
7211,三菱自動車工業,輸送用機器
7220,武蔵精密工業,輸送用機器
7224,新明和工業,輸送用機器
7226,極東開発工業,輸送用機器
7231,トピー工業,輸送用機器
7236,ティラド,輸送用機器
7238,曙ブレーキ工業,輸送用機器
7239,タチエス,輸送用機器
7240,NOK,輸送用機器
7241,フタバ産業,輸送用機器
7242,カヤバ,輸送用機器
7244,市光工業,電気機器
7245,大同メタル工業,輸送用機器
7246,プレス工業,輸送用機器
7250,太平洋工業,輸送用機器
7259,アイシン,輸送用機器
7261,マツダ,輸送用機器
7267,本田技研工業,輸送用機器
7269,スズキ,輸送用機器
7270,SUBARU,輸送用機器
7272,ヤマハ発動機,輸送用機器
7276,小糸製作所,電気機器
7278,エクセディ,輸送用機器
7280,ミツバ,電気機器
7282,豊田合成,輸送用機器
7283,愛三工業,輸送用機器
7294,ヨロズ,輸送用機器
7296,エフ・シー・シー,輸送用機器
7309,シマノ,輸送用機器
7313,テイ・エス テック,輸送用機器
7322,三十三フィナンシャルグループ,銀行業
7327,第四北越フィナンシャルグループ,銀行業
7337,ひろぎんホールディングス,銀行業
7347,マーキュリアホールディングス,証券、商品先物取引業
7350,おきなわフィナンシャルグループ,銀行業
7354,ダイレクトマーケティングミックス,サービス業
7366,LITALICO,サービス業
7380,十六フィナンシャルグループ,銀行業
7381,北國フィナンシャルホールディングス,銀行業
7383,ネットプロテクションズホールディングス,その他金融業
7384,プロクレアホールディングス,銀行業
7388,FPパートナー,保険業
7389,あいちフィナンシャルグループ,銀行業
7408,ジャムコ,輸送用機器
7414,小野建,卸売業
7419,ノジマ,小売業
7420,佐鳥電機,卸売業
7421,カッパ・クリエイト,小売業
7433,伯東,卸売業
7438,コンドーテック,卸売業
7447,ナガイレーベン,卸売業
7453,良品計画,小売業
7456,松田産業,卸売業
7458,第一興商,卸売業
7459,メディパルホールディングス,卸売業
7466,SPK,卸売業
7467,萩原電気ホールディングス,卸売業
7475,アルビス,小売業
7476,アズワン,卸売業
7482,シモジマ,卸売業
7483,ドウシシャ,卸売業
7504,高速,卸売業
7508,G-7ホールディングス,小売業
7510,たけびし,卸売業
7513,コジマ,小売業
7516,コーナン商事,小売業
7518,ネットワンシステムズ,情報・通信業
7520,エコス,小売業
7522,ワタミ,小売業
7525,リックス,卸売業
7532,"パン・パシフィック・
インターナショナルホールディングス",小売業
7537,丸文,卸売業
7545,西松屋チェーン,小売業
7550,ゼンショーホールディングス,小売業
7552,ハピネット,卸売業
7554,幸楽苑ホールディングス,小売業
7575,日本ライフライン,卸売業
7581,サイゼリヤ,小売業
7590,タカショー,卸売業
7593,VTホールディングス,小売業
7595,アルゴグラフィックス,情報・通信業
7596,魚力,小売業
7599,IDOM,卸売業
7600,日本エム・ディ・エム,精密機器
7605,フジ・コーポレーション,小売業
7606,ユナイテッドアローズ,小売業
7607,進和,卸売業
7609,ダイトロン,卸売業
7611,ハイデイ日高,小売業
7613,シークス,卸売業
7616,コロワイド,小売業
7628,オーハシテクニカ,卸売業
7630,壱番屋,小売業
7637,白銅,卸売業
7649,スギホールディングス,小売業
7679,薬王堂ホールディングス,小売業
7701,島津製作所,精密機器
7715,長野計器,精密機器
7717,ブイ・テクノロジー,精密機器
7718,スター精密,機械
7721,東京計器,精密機器
7723,愛知時計電機,精密機器
7725,インターアクション,精密機器
7729,東京精密,精密機器
7730,マニー,精密機器
7731,ニコン,精密機器
7732,トプコン,精密機器
7733,オリンパス,精密機器
7734,理研計器,精密機器
7735,SCREENホールディングス,電気機器
7739,キヤノン電子,電気機器
7740,タムロン,精密機器
7741,HOYA,精密機器
7743,シード,精密機器
7744,ノーリツ鋼機,精密機器
7745,A&Dホロンホールディングス,精密機器
7747,朝日インテック,精密機器
7751,キヤノン,電気機器
7752,リコー,電気機器
7762,シチズン時計,精密機器
7769,リズム,精密機器
7780,メニコン,精密機器
7817,パラマウントベッドホールディングス,その他製品
7818,トランザクション,その他製品
7820,ニホンフラッシュ,その他製品
7821,前田工繊,その他製品
7826,フルヤ金属,その他製品
7832,バンダイナムコホールディングス,その他製品
7839,SHOEI,その他製品
7840,フランスベッドホールディングス,その他製品
7844,マーベラス,情報・通信業
7846,パイロットコーポレーション,その他製品
7856,萩原工業,その他製品
7860,エイベックス,情報・通信業
7864,フジシールインターナショナル,その他製品
7867,タカラトミー,その他製品
7868,広済堂ホールディングス,その他製品
7874,レック,化学
7888,三光合成,化学
7893,プロネクサス,その他製品
7911,TOPPANホールディングス,その他製品
7912,大日本印刷,その他製品
7914,共同印刷,その他製品
7915,NISSHA,その他製品
7917,ZACROS,化学
7921,TAKARA & COMPANY,その他製品
7925,前澤化成工業,化学
7931,未来工業,化学
7936,アシックス,その他製品
7942,JSP,化学
7943,ニチハ,ガラス・土石製品
7944,ローランド,その他製品
7947,エフピコ,化学
7949,小松ウオール工業,その他製品
7951,ヤマハ,その他製品
7952,河合楽器製作所,その他製品
7955,クリナップ,その他製品
7956,ピジョン,その他製品
7958,天馬,化学
7962,キングジム,その他製品
7965,象印マホービン,電気機器
7966,リンテック,その他製品
7970,信越ポリマー,化学
7972,イトーキ,その他製品
7974,任天堂,その他製品
7976,三菱鉛筆,その他製品
7979,松風,精密機器
7981,タカラスタンダード,その他製品
7984,コクヨ,その他製品
7988,ニフコ,化学
7989,立川ブラインド工業,金属製品
7990,グローブライド,その他製品
7994,オカムラ,その他製品
7995,バルカー,化学
8001,伊藤忠商事,卸売業
8002,丸紅,卸売業
8005,スクロール,小売業
8007,高島,卸売業
8008,ヨンドシーホールディングス,小売業
8011,三陽商会,繊維製品
8012,長瀬産業,卸売業
8014,蝶理,卸売業
8015,豊田通商,卸売業
8016,オンワードホールディングス,繊維製品
8020,兼松,卸売業
8022,美津濃,その他製品
8031,三井物産,卸売業
8032,日本紙パルプ商事,卸売業
8035,東京エレクトロン,電気機器
8037,カメイ,卸売業
8043,スターゼン,卸売業
8050,セイコーグループ,精密機器
8051,山善,卸売業
8052,椿本興業,卸売業
8053,住友商事,卸売業
8056,BIPROGY,情報・通信業
8057,内田洋行,卸売業
8058,三菱商事,卸売業
8059,第一実業,卸売業
8060,キヤノンマーケティングジャパン,卸売業
8061,西華産業,卸売業
8065,佐藤商事,卸売業
8070,東京産業,卸売業
8074,ユアサ商事,卸売業
8075,神鋼商事,卸売業
8078,阪和興業,卸売業
8079,正栄食品工業,卸売業
8081,カナデン,卸売業
8084,菱電商事,卸売業
8086,ニプロ,精密機器
8088,岩谷産業,卸売業
8091,ニチモウ,卸売業
8093,極東貿易,卸売業
8095,アステナホールディングス,卸売業
8097,三愛オブリ,卸売業
8098,稲畑産業,卸売業
8101,GSIクレオス,卸売業
8103,明和産業,卸売業
8111,ゴールドウイン,繊維製品
8113,ユニ・チャーム,化学
8114,デサント,繊維製品
8125,ワキタ,卸売業
8129,東邦ホールディングス,卸売業
8130,サンゲツ,卸売業
8132,シナネンホールディングス,卸売業
8133,伊藤忠エネクス,卸売業
8136,サンリオ,卸売業
8137,サンワテクノス,卸売業
8141,新光商事,卸売業
8142,トーホー,卸売業
8150,三信電気,卸売業
8151,東陽テクニカ,卸売業
8153,モスフードサービス,卸売業
8154,加賀電子,卸売業
8155,三益半導体工業,金属製品
8157,都築電気,情報・通信業
8158,ソーダニッカ,卸売業
8159,立花エレテック,卸売業
8160,木曽路,小売業
8163,SRSホールディングス,小売業
8167,リテールパートナーズ,小売業
8173,上新電機,小売業
8174,日本瓦斯,小売業
8179,ロイヤルホールディングス,小売業
8182,いなげや,小売業
8185,チヨダ,小売業
8194,ライフコーポレーション,小売業
8200,リンガーハット,小売業
8203,MrMaxHD,小売業
8214,AOKIホールディングス,小売業
8217,オークワ,小売業
8218,コメリ,小売業
8219,青山商事,小売業
8227,しまむら,小売業
8233,高島屋,小売業
8237,松屋,小売業
8242,エイチ・ツー・オー リテイリング,小売業
8252,丸井グループ,小売業
8253,クレディセゾン,その他金融業
8255,アクシアル リテイリング,小売業
8267,イオン,小売業
8273,イズミ,小売業
8276,平和堂,小売業
8278,フジ,小売業
8279,ヤオコー,小売業
8281,ゼビオホールディングス,小売業
8282,ケーズホールディングス,小売業
8283,PALTAC,卸売業
8304,あおぞら銀行,銀行業
8306,三菱UFJフィナンシャル・グループ,銀行業
8308,りそなホールディングス,銀行業
8309,三井住友トラスト・ホールディングス,銀行業
8316,三井住友フィナンシャルグループ,銀行業
8331,千葉銀行,銀行業
8334,群馬銀行,銀行業
8336,武蔵野銀行,銀行業
8337,千葉興業銀行,銀行業
8338,筑波銀行,銀行業
8341,七十七銀行,銀行業
8343,秋田銀行,銀行業
8344,山形銀行,銀行業
8345,岩手銀行,銀行業
8346,東邦銀行,銀行業
8354,ふくおかフィナンシャルグループ,銀行業
8358,スルガ銀行,銀行業
8359,八十二銀行,銀行業
8360,山梨中央銀行,銀行業
8361,大垣共立銀行,銀行業
8362,福井銀行,銀行業
8364,清水銀行,銀行業
8366,滋賀銀行,銀行業
8367,南都銀行,銀行業
8368,百五銀行,銀行業
8370,紀陽銀行,銀行業
8377,ほくほくフィナンシャルグループ,銀行業
8381,山陰合同銀行,銀行業
8386,百十四銀行,銀行業
8387,四国銀行,銀行業
8388,阿波銀行,銀行業
8392,大分銀行,銀行業
8393,宮崎銀行,銀行業
8395,佐賀銀行,銀行業
8399,琉球銀行,銀行業
8410,セブン銀行,銀行業
8411,みずほフィナンシャルグループ,銀行業
8418,山口フィナンシャルグループ,銀行業
8424,芙蓉総合リース,その他金融業
8425,みずほリース,その他金融業
8439,東京センチュリー,その他金融業
8473,SBIホールディングス,証券、商品先物取引業
8511,日本証券金融,その他金融業
8515,アイフル,その他金融業
8522,名古屋銀行,銀行業
8524,北洋銀行,銀行業
8541,愛媛銀行,銀行業
8544,京葉銀行,銀行業
8550,栃木銀行,銀行業
8551,北日本銀行,銀行業
8558,東和銀行,銀行業
8566,リコーリース,その他金融業
8570,イオンフィナンシャルサービス,その他金融業
8584,ジャックス,その他金融業
8585,オリエントコーポレーション,その他金融業
8591,オリックス,その他金融業
8593,三菱HCキャピタル,その他金融業
8595,ジャフコ グループ,証券、商品先物取引業
8600,トモニホールディングス,銀行業
8601,大和証券グループ本社,証券、商品先物取引業
8604,野村ホールディングス,証券、商品先物取引業
8609,岡三証券グループ,証券、商品先物取引業
8613,丸三証券,証券、商品先物取引業
8614,東洋証券,証券、商品先物取引業
8616,東海東京フィナンシャル・ホールディングス,証券、商品先物取引業
8622,水戸証券,証券、商品先物取引業
8624,いちよし証券,証券、商品先物取引業
8628,松井証券,証券、商品先物取引業
8630,SOMPOホールディングス,保険業
8697,日本取引所グループ,その他金融業
8698,マネックスグループ,証券、商品先物取引業
8706,極東証券,証券、商品先物取引業
8707,岩井コスモホールディングス,証券、商品先物取引業
8708,アイザワ証券グループ,証券、商品先物取引業
8713,フィデアホールディングス,銀行業
8714,池田泉州ホールディングス,銀行業
8715,アニコム ホールディングス,保険業
8725,"MS&ADインシュアランス
グループホールディングス",保険業
8739,スパークス・グループ,証券、商品先物取引業
8750,第一生命ホールディングス,保険業
8766,東京海上ホールディングス,保険業
8771,イー・ギャランティ,その他金融業
8793,NECキャピタルソリューション,その他金融業
8795,T&Dホールディングス,保険業
8798,アドバンスクリエイト,保険業
8801,三井不動産,不動産業
8802,三菱地所,不動産業
8803,平和不動産,不動産業
8804,東京建物,不動産業
8818,京阪神ビルディング,不動産業
8830,住友不動産,不動産業
8848,レオパレス21,不動産業
8850,スターツコーポレーション,不動産業
8860,フジ住宅,不動産業
8864,空港施設,不動産業
8876,リログループ,サービス業
8877,エスリード,不動産業
8881,日神グループホールディングス,不動産業
8892,日本エスコン,不動産業
8897,MIRARTHホールディングス,不動産業
8905,イオンモール,不動産業
8919,カチタス,不動産業
8923,トーセイ,不動産業
8934,サンフロンティア不動産,不動産業
8935,FJネクストホールディングス,不動産業
8999,グランディハウス,不動産業
9001,東武鉄道,陸運業
9003,相鉄ホールディングス,陸運業
9005,東急,陸運業
9006,京浜急行電鉄,陸運業
9007,小田急電鉄,陸運業
9008,京王電鉄,陸運業
9009,京成電鉄,陸運業
9010,富士急行,陸運業
9020,東日本旅客鉄道,陸運業
9021,西日本旅客鉄道,陸運業
9022,東海旅客鉄道,陸運業
9024,西武ホールディングス,陸運業
9025,鴻池運輸,陸運業
9031,西日本鉄道,陸運業
9037,ハマキョウレックス,陸運業
9039,サカイ引越センター,陸運業
9041,近鉄グループホールディングス,陸運業
9042,阪急阪神ホールディングス,陸運業
9044,南海電気鉄道,陸運業
9045,京阪ホールディングス,陸運業
9046,神戸電鉄,陸運業
9048,名古屋鉄道,陸運業
9052,山陽電気鉄道,陸運業
9055,アルプス物流,陸運業
9058,トランコム,倉庫・運輸関連業
9064,ヤマトホールディングス,陸運業
9065,山九,陸運業
9066,日新,倉庫・運輸関連業
9068,丸全昭和運輸,陸運業
9069,センコーグループホールディングス,陸運業
9070,トナミホールディングス,陸運業
9072,ニッコンホールディングス,陸運業
9075,福山通運,陸運業
9076,セイノーホールディングス,陸運業
9081,神奈川中央交通,陸運業
9090,AZ-COM丸和ホールディングス,陸運業
9101,日本郵船,海運業
9104,商船三井,海運業
9107,川崎汽船,海運業
9110,NSユナイテッド海運,海運業
9119,飯野海運,海運業
9142,九州旅客鉄道,陸運業
9143,SGホールディングス,陸運業
9147,NIPPON EXPRESSホールディングス,陸運業
9161,ID&Eホールディングス,サービス業
9201,日本航空,空運業
9202,ANAホールディングス,空運業
9216,ビーウィズ,サービス業
9229,サンウェルズ,サービス業
9247,TREホールディングス,サービス業
9248,人・夢・技術グループ,サービス業
9260,西本Wismettacホールディングス,卸売業
9267,Genky DrugStores,小売業
9273,コーア商事ホールディングス,卸売業
9274,KPPグループホールディングス,卸売業
9278,ブックオフグループホールディングス,小売業
9279,ギフトホールディングス,小売業
9301,三菱倉庫,倉庫・運輸関連業
9302,三井倉庫ホールディングス,倉庫・運輸関連業
9303,住友倉庫,倉庫・運輸関連業
9304,澁澤倉庫,倉庫・運輸関連業
9305,ヤマタネ,卸売業
9310,日本トランスシティ,倉庫・運輸関連業
9319,中央倉庫,倉庫・運輸関連業
9324,安田倉庫,倉庫・運輸関連業
9332,NISSOホールディングス,サービス業
9336,大栄環境,サービス業
9341,GENOVA,サービス業
9347,日本管財ホールディングス,サービス業
9364,上組,倉庫・運輸関連業
9381,エーアイテイー,倉庫・運輸関連業
9384,内外トランスライン,倉庫・運輸関連業
9386,日本コンセプト,倉庫・運輸関連業
9401,TBSホールディングス,情報・通信業
9404,日本テレビホールディングス,情報・通信業
9405,朝日放送グループホールディングス,情報・通信業
9409,テレビ朝日ホールディングス,情報・通信業
9412,スカパーJSATホールディングス,情報・通信業
9413,テレビ東京ホールディングス,情報・通信業
9416,ビジョン,情報・通信業
9418,U-NEXT HOLDINGS,情報・通信業
9422,コネクシオ,情報・通信業
9424,日本通信,情報・通信業
9432,日本電信電話,情報・通信業
9433,KDDI,情報・通信業
9434,ソフトバンク,情報・通信業
9435,光通信,情報・通信業
9438,エムティーアイ,情報・通信業
9449,GMOインターネットグループ,情報・通信業
9450,ファイバーゲート,情報・通信業
9468,KADOKAWA,情報・通信業
9470,学研ホールディングス,情報・通信業
9474,ゼンリン,情報・通信業
9501,東京電力ホールディングス,電気・ガス業
9502,中部電力,電気・ガス業
9503,関西電力,電気・ガス業
9504,中国電力,電気・ガス業
9505,北陸電力,電気・ガス業
9506,東北電力,電気・ガス業
9507,四国電力,電気・ガス業
9508,九州電力,電気・ガス業
9509,北海道電力,電気・ガス業
9511,沖縄電力,電気・ガス業
9513,電源開発,電気・ガス業
9517,イーレックス,電気・ガス業
9519,レノバ,電気・ガス業
9531,東京瓦斯,電気・ガス業
9532,大阪瓦斯,電気・ガス業
9533,東邦瓦斯,電気・ガス業
9534,北海道瓦斯,電気・ガス業
9535,広島ガス,電気・ガス業
9536,西部ガスホールディングス,電気・ガス業
9543,静岡ガス,電気・ガス業
9551,メタウォーター,電気・ガス業
9552,M&A総合研究所ホールディングス,サービス業
9600,アイネット,情報・通信業
9601,松竹,情報・通信業
9602,東宝,情報・通信業
9603,エイチ・アイ・エス,サービス業
9605,東映,情報・通信業
9612,ラックランド,サービス業
9613,NTTデータグループ,情報・通信業
9616,共立メンテナンス,サービス業
9619,イチネンホールディングス,サービス業
9621,建設技術研究所,サービス業
9622,スペース,サービス業
9627,アインホールディングス,小売業
9628,燦ホールディングス,サービス業
9629,ピー・シー・エー,情報・通信業
9644,タナベコンサルティンググループ,サービス業
9658,ビジネスブレイン太田昭和,情報・通信業
9663,ナガワ,サービス業
9672,東京都競馬,サービス業
9678,カナモト,サービス業
9682,DTS,情報・通信業
9684,スクウェア・エニックス・ホールディングス,情報・通信業
9692,シーイーシー,情報・通信業
9697,カプコン,情報・通信業
9699,ニシオホールディングス,サービス業
9702,アイ・エス・ビー,情報・通信業
9706,日本空港ビルデング,不動産業
9715,トランス・コスモス,サービス業
9716,乃村工藝社,サービス業
9719,SCSK,情報・通信業
9722,藤田観光,サービス業
9729,トーカイ,サービス業
9735,セコム,サービス業
9739,NSW,情報・通信業
9740,セントラル警備保障,サービス業
9742,アイネス,情報・通信業
9743,丹青社,サービス業
9744,メイテックグループホールディングス,サービス業
9746,TKC,情報・通信業
9749,富士ソフト,情報・通信業
9755,応用地質,サービス業
9757,船井総研ホールディングス,サービス業
9759,NSD,情報・通信業
9765,オオバ,サービス業
9766,コナミグループ,情報・通信業
9769,学究社,サービス業
9787,イオンディライト,サービス業
9788,ナック,サービス業
9790,福井コンピュータホールディングス,情報・通信業
9793,ダイセキ,サービス業
9795,ステップ,サービス業
9824,泉州電業,卸売業
9830,トラスコ中山,卸売業
9831,ヤマダホールディングス,小売業
9832,オートバックスセブン,卸売業
9837,モリト,卸売業
9842,アークランズ,小売業
9843,ニトリホールディングス,小売業
9850,グルメ杵屋,小売業
9861,吉野家ホールディングス,小売業
9869,加藤産業,卸売業
9880,イノテック,電気機器
9882,イエローハット,卸売業
9887,松屋フーズホールディングス,小売業
9889,JBCCホールディングス,情報・通信業
9900,サガミホールディングス,小売業
9902,日伝,卸売業
9928,ミロク情報サービス,情報・通信業
9932,杉本商事,卸売業
9934,因幡電機産業,卸売業
9936,王将フードサービス,小売業
9946,ミニストップ,小売業
9948,アークス,小売業
9956,バローホールディングス,小売業
9960,東テク,卸売業
9962,ミスミグループ本社,卸売業
9974,ベルク,小売業
9983,ファーストリテイリング,小売業
9984,ソフトバンクグループ,情報・通信業
9987,スズケン,卸売業
9989,サンドラッグ,小売業
9990,サックスバー ホールディングス,小売業
9991,ジェコス,卸売業
9997,ベルーナ,小売業
167A,リョーサン菱洋ホールディングス,卸売業
187A,サムティホールディングス,不動産業
256A,飛島ホールディングス,建設業
262A,インターメスティック,小売業
