銘柄,社名,業種
6342,太平製作所,機械
6343,フリージア・マクロス,機械
6346,キクカワエンタープライズ,機械
6347,プラコー,機械
6356,日本ギア工業,機械
6357,三精テクノロジーズ,機械
6360,東京自働機械製作所,機械
6362,石井鐵工所,機械
6365,電業社機械製作所,機械
6366,千代田化工建設,建設業
6373,大同工業,機械
6378,木村化工機,機械
6380,オリエンタルチエン工業,機械
6382,トリニティ工業,機械
6384,昭和真空,機械
6391,加地テック,機械
6392,ヤマダコーポレーション,機械
6393,油研工業,機械
6396,宇野澤組鐵工所,機械
6400,不二精機,機械
6402,兼松エンジニアリング,機械
6403,水道機工,機械
6405,鈴茂器工,機械
6408,小倉クラッチ,機械
6411,中野冷機,機械
6416,桂川電機,機械
6424,高見沢サイバネティックス,機械
6425,ユニバーサルエンターテインメント,機械
6428,オーイズミ,機械
6433,ヒーハイスト,機械
6444,サンデン,機械
6466,TVE,機械
6467,ニチダイ,機械
6469,放電精密加工研究所,機械
6470,大豊工業,機械
6482,ユーシン精機,機械
6484,KVK,機械
6485,前澤給装工業,機械
6488,ヨシタケ,機械
6489,前澤工業,機械
6492,岡野バルブ製造,機械
6493,日鍛バルブ,輸送用機器
6494,NFKホールディングス,機械
6495,宮入バルブ製作所,機械
6496,中北製作所,機械
6497,ハマイ,機械
6505,東洋電機製造,電気機器
6513,オリジン,電気機器
6518,三相電機,電気機器
6524,湖北工業,電気機器
6538,キャリアインデックス,サービス業
6540,船場,サービス業
6542,FCホールディングス,サービス業
6543,日宣,サービス業
6546,フルテック,サービス業
6547,グリーンズ,サービス業
6549,ディーエムソリューションズ,サービス業
6551,ツナググループ・ホールディングス,サービス業
6552,GameWith,サービス業
6555,MS&Consulting,サービス業
6565,ABホテル,サービス業
6566,要興業,サービス業
6570,共和コーポレーション,サービス業
6578,コレックホールディングス,サービス業
6599,エブレン,電気機器
6614,シキノハイテック,電気機器
6625,JALCOホールディングス,不動産業
6626,SEMITEC,電気機器
6627,テラプローブ,電気機器
6629,テクノホライゾン,電気機器
6633,C&Gシステムズ,電気機器
6634,ネクスグループ,電気機器
6635,大日光・エンジニアリング,電気機器
6637,寺崎電気産業,電気機器
6643,戸上電機製作所,電気機器
6647,森尾電機,電気機器
6648,かわでん,電気機器
6654,不二電機工業,電気機器
6656,インスペック,電気機器
6658,シライ電子工業,電気機器
6659,メディアリンクス,電気機器
6662,ユビテック,電気機器
6663,太洋テクノレックス,電気機器
6664,オプトエレクトロニクス,電気機器
6666,リバーエレテック,電気機器
6668,アドテックプラズマテクノロジー,電気機器
6670,MCJ,電気機器
6675,サクサ,電気機器
6676,メルコホールディングス,電気機器
6677,エスケーエレクトロニクス,電気機器
6678,テクノメディカ,電気機器
6694,ズーム,電気機器
6698,ヴィスコ・テクノロジーズ,電気機器
6715,ナカヨ,電気機器
6721,ウインテスト,電気機器
6730,アクセル,電気機器
6731,ピクセラ,電気機器
6734,ニューテック,電気機器
6736,サン電子,電気機器
6743,大同信号,電気機器
6748,星和電機,電気機器
6757,OSGコーポレーション,電気機器
6769,ザインエレクトロニクス,電気機器
6771,池上通信機,電気機器
6772,東京コスモス電機,電気機器
6775,TBグループ,電気機器
6776,天昇電気工業,化学
6777,santec Holdings,電気機器
6778,アルチザネットワークス,電気機器
6786,RVH,サービス業
6797,名古屋電機工業,電気機器
6803,ティアック,電気機器
6819,伊豆シャボテンリゾート,サービス業
6822,大井電気,電気機器
6824,新コスモス電機,電気機器
6832,アオイ電子,電気機器
6834,精工技研,電気機器
6835,アライドテレシスホールディングス,電気機器
6836,ぷらっとホーム,電気機器
6837,京写,電気機器
6838,多摩川ホールディングス,電気機器
6840,AKIBAホールディングス,電気機器
6848,東亜ディーケーケー,電気機器
6853,共和電業,電気機器
6855,日本電子材料,電気機器
6858,小野測器,電気機器
6862,ミナトホールディングス,電気機器
6863,ニレコ,電気機器
6864,エヌエフホールディングス,電気機器
6867,リーダー電子,電気機器
6870,日本フェンオール,電気機器
6874,協立電機,電気機器
6877,OBARA GROUP,電気機器
6882,三社電機製作所,電気機器
6888,アクモス,情報・通信業
6890,フェローテックホールディングス,電気機器
6894,パルステック工業,電気機器
6897,ツインバード,電気機器
6898,トミタ電機,電気機器
6899,ASTI,電気機器
6901,澤藤電機,電気機器
6904,原田工業,電気機器
6907,ジオマテック,電気機器
6912,菊水ホールディングス,電気機器
6915,千代田インテグレ,電気機器
6918,アバールデータ,電気機器
6919,ケル,電気機器
6926,岡谷電機産業,電気機器
6927,ヘリオス テクノ ホールディング,電気機器
6930,日本アンテナ,電気機器
6932,遠藤照明,電気機器
6942,ソフィアホールディングス,情報・通信業
6943,NKKスイッチズ,電気機器
6946,日本アビオニクス,電気機器
6955,FDK,電気機器
6957,芝浦電子,電気機器
6960,フクダ電子,電気機器
6964,サンコー,電気機器
6969,松尾電機,電気機器
6973,協栄産業,卸売業
6977,日本抵抗器製作所,電気機器
6982,リード[要曖昧さ回避],輸送用機器
6989,北陸電気工業,電気機器
6993,大黒屋ホールディングス,小売業
6994,指月電機製作所,電気機器
6998,日本タングステン,電気機器
7014,名村造船所,輸送用機器
7018,内海造船,輸送用機器
7021,ニッチツ,機械
7022,サノヤスホールディングス,機械
7030,スプリックス,サービス業
7035,and factory,サービス業
7037,テノ. ホールディングス,サービス業
7040,サン・ライフホールディング,サービス業
7042,アクセスグループ・ホールディングス,サービス業
7044,ピアラ,サービス業
7057,エヌ・シー・エヌ,サービス業
7058,共栄セキュリティーサービス,サービス業
7060,ギークス,サービス業
7065,ユーピーアール,サービス業
7081,コーユーレンティア,サービス業
7087,ウイルテック,サービス業
7105,三菱ロジスネクスト,輸送用機器
7111,INEST,卸売業
7115,アルファパーチェス,卸売業
7116,ダイワ通信,卸売業
7120,SHINKO,卸売業
7122,近畿車輛,輸送用機器
7126,グローバルスタイル,小売業
7127,一家ホールディングス,小売業
7129,ミアヘルサホールディングス,小売業
7131,のむら産業,卸売業
7134,クルーバー,小売業
7135,ジャパンクラフトホールディングス,小売業
7150,島根銀行,銀行業
7161,じもとホールディングス,銀行業
7162,アストマックス,証券、商品先物取引業
7163,住信SBIネット銀行,銀行業
7175,今村証券,証券、商品先物取引業
7177,GMOフィナンシャルホールディングス,証券、商品先物取引業
7183,あんしん保証,その他金融業
7185,ヒロセ通商,証券、商品先物取引業
7191,イントラスト,その他金融業
7192,日本モーゲージサービス,その他金融業
7196,Casa,その他金融業
7208,カネミツ,輸送用機器
7212,エフテック,輸送用機器
7213,レシップホールディングス,輸送用機器
7214,GMB,輸送用機器
7215,ファルテック,輸送用機器
7217,テイン,輸送用機器
7218,田中精密工業,輸送用機器
7219,エッチ・ケー・エス,輸送用機器
7222,日産車体,輸送用機器
7228,デイトナ,輸送用機器
7229,ユタカ技研,輸送用機器
7235,東京ラヂエーター製造,輸送用機器
7247,ミクニ,輸送用機器
7254,ユニバンス,輸送用機器
7255,桜井製作所,輸送用機器
7256,河西工業,輸送用機器
7264,ムロコーポレーション,輸送用機器
7265,エイケン工業,輸送用機器
7266,今仙電機製作所,輸送用機器
7268,タツミ,輸送用機器
7271,安永,輸送用機器
7273,イクヨ,輸送用機器
7277,TBK,輸送用機器
7279,ハイレックスコーポレーション,輸送用機器
7284,盟和産業,輸送用機器
7287,日本精機,輸送用機器
7291,日本プラスト,輸送用機器
7292,村上開明堂,輸送用機器
7297,カーメイト,輸送用機器
7299,フジオーゼックス,輸送用機器
7305,新家工業,鉄鋼
7314,小田原機器,輸送用機器
7357,ジオコード,サービス業
7358,ポピンズ,サービス業
7367,セルム,サービス業
7368,表示灯,サービス業
7377,DNホールディングス,サービス業
7399,ナンシン,輸送用機器
7412,アトム,小売業
7413,創健社,卸売業
7416,はるやまホールディングス,小売業
7417,南陽,卸売業
7422,東邦レマック,卸売業
7425,初穂商事,卸売業
7426,山大,卸売業
7427,エコートレーディング,卸売業
7434,オータケ,卸売業
7435,ナ・デックス,卸売業
7442,中山福,卸売業
7443,横浜魚類,卸売業
7444,ハリマ共和物産,卸売業
7445,ライトオン,小売業
7446,東北化学薬品,卸売業
7450,サンデー,小売業
7451,三菱食品,卸売業
7455,パリミキホールディングス,小売業
7460,ヤギ,卸売業
7461,キムラ,卸売業
7462,CAPITA,小売業
7463,アドヴァングループ,小売業
7464,セフテック,卸売業
7472,鳥羽洋行,卸売業
7477,ムラキ,卸売業
7480,スズデン,卸売業
7481,尾家産業,卸売業
7486,サンリン,卸売業
7487,小津産業,卸売業
7490,日新商事,卸売業
7494,コナカ,小売業
7500,西川計測,卸売業
7501,ティムコ,卸売業
7502,プラザホールディングス,サービス業
7505,扶桑電通,卸売業
7506,ハウス オブ ローゼ,小売業
7509,アイエーグループ,小売業
7512,イオン北海道,小売業
7514,ヒマラヤ,小売業
7515,マルヨシセンター,小売業
7521,ムサシ,卸売業
7523,アールビバン,小売業
7524,マルシェ,小売業
7527,システムソフト,情報・通信業
7531,清和中央ホールディングス,卸売業
7538,大水,卸売業
7539,アイナボホールディングス,卸売業
7544,スリーエフ,小売業
7551,ウェッズ,輸送用機器
7555,大田花き,卸売業
7559,ジーエフシー,卸売業
7561,ハークスレイ,小売業
7562,安楽亭,小売業
7564,ワークマン,小売業
7565,萬世電機,卸売業
7567,栄電子,卸売業
7570,橋本総業ホールディングス,卸売業
7571,ヤマノホールディングス,小売業
7578,ニチリョク,小売業
7585,かんなん丸,小売業
7590,タカショー,卸売業
7601,ポプラ,小売業
7602,レダックス,卸売業
7603,マックハウス,小売業
7604,梅の花,小売業
7608,エスケイジャパン,卸売業
7610,テイツー,小売業
7614,オーエムツーネットワーク,小売業
7615,京都きもの友禅ホールディングス,小売業
7619,田中商事,卸売業
7621,うかい,小売業
7623,サンオータス,小売業
7624,NaITO,卸売業
7625,グローバルダイニング,小売業
7634,星医療酸器,卸売業
7635,杉田エース,卸売業
7636,ハンズマン,小売業
7638,NEW ART HOLDINGS,小売業
7640,トップカルチャー,小売業
7643,ダイイチ,小売業
7646,PLANT,小売業
7670,オーウエル,卸売業
7673,ダイコー通産,卸売業
7677,ヤシマキザイ,卸売業
7678,あさくま,小売業
7681,レオクラン,卸売業
7682,浜木綿,小売業
7686,カクヤスグループ,卸売業
7692,アースインフィニティ,小売業
7698,アイスコ,卸売業
7702,JMS,精密機器
7709,クボテック,精密機器
7711,助川電気工業,精密機器
7713,シグマ光機,精密機器
7716,ナカニシ,精密機器
7719,東京衡機,精密機器
7722,国際計測器,精密機器
7726,黒田精工,機械
7727,オーバル,精密機器
7746,岡本硝子,精密機器
7749,メディキット,精密機器
7760,IMV,精密機器
7771,日本精密,精密機器
7775,大研医器,精密機器
7781,平山ホールディングス,精密機器
7782,シンシア,精密機器
7791,ドリームベッド,その他製品
7795,KYORITSU,その他製品
7800,アミファ,その他製品
7804,ビーアンドピー,その他製品
7805,プリントネット,その他製品
7807,幸和製作所,その他製品
7808,シー・エス・ランバー,その他製品
7809,壽屋,その他製品
7810,クロスフォー,その他製品
7811,中本パックス,その他製品
7812,クレステック,その他製品
7814,日本創発グループ,その他製品
7815,東京ボード工業,その他製品
7819,粧美堂,その他製品
7822,永大産業,その他製品
7823,アートネイチャー,その他製品
7827,オービス,その他製品
7831,ウイルコホールディングス,その他製品
7833,アイフィスジャパン,その他製品
7836,アビックス,その他製品
7837,アールシーコア,その他製品
7841,遠藤製作所,その他製品
7847,グラファイトデザイン,その他製品
7849,スターツ出版,情報・通信業
7850,総合商研,その他製品
7851,カワセコンピュータサプライ,その他製品
7857,セキ,その他製品
7859,アルメディオ,その他製品
7863,平賀[要曖昧さ回避],その他製品
7865,ピープル,その他製品
7871,フクビ化学工業,化学
7872,エステールホールディングス,その他製品
7875,竹田iPホールディングス,その他製品
7877,永大化工,化学
7878,光・彩,その他製品
7879,ノダ,その他製品
7883,サンメッセ,その他製品
7885,タカノ,その他製品
7886,ヤマト・インダストリー,化学
7887,南海プライウッド,その他製品
7896,セブン工業,その他製品
7897,ホクシン,その他製品
7898,ウッドワン,その他製品
7901,マツモト,その他製品
7902,ソノコム,その他製品
7906,ヨネックス,その他製品
7908,きもと,化学
7916,光村印刷,その他製品
7918,ヴィア・ホールディングス,小売業
7919,野崎印刷紙業,その他製品
7922,三光産業,その他製品
7923,トーイン,その他製品
7927,ムトー精工,化学
7928,旭化学工業,化学
7932,ニッピ,その他製品
7937,ツツミ,その他製品
7938,リーガルコーポレーション,その他製品
7939,研創,その他製品
7940,ウェーブロックホールディングス,化学
7946,光陽社,その他製品
7953,菊水化学工業,その他製品
7957,フジコピアン,その他製品
7963,興研,その他製品
7971,東リ,化学
7975,リヒトラブ,その他製品
7980,重松製作所,その他製品
7983,ミロク,その他製品
7985,ネポン,金属製品
7986,日本アイ・エス・ケイ,その他製品
7987,ナカバヤシ,その他製品
7991,マミヤ・オーピー,機械
7992,セーラー万年筆,その他製品
7997,くろがね工作所,その他製品
7999,MUTOHホールディングス,電気機器
8006,ユアサ・フナショク,卸売業
8013,ナイガイ,繊維製品
8018,三共生興,卸売業
8023,大興電子通信,情報・通信業
8025,ツカモトコーポレーション,卸売業
8029,ルックホールディングス,繊維製品
8030,中央魚類,卸売業
8038,東都水産,卸売業
8039,築地魚市場,卸売業
8040,東京ソワール,繊維製品
8041,OUGホールディングス,卸売業
8045,横浜丸魚,卸売業
8046,丸藤シートパイル,卸売業
8066,三谷商事,卸売業
8072,日本出版貿易,卸売業
8076,カノークス,卸売業
8077,トルク,卸売業
8085,ナラサキ産業,卸売業
8089,ナイス,卸売業
8104,クワザワホールディングス,卸売業
8105,堀田丸正,卸売業
8107,キムラタン,繊維製品
8115,ムーンバット,卸売業
8117,中央自動車工業,卸売業
8118,キング,繊維製品
8119,三栄コーポレーション,卸売業
8123,川辺,卸売業
8127,ヤマトインターナショナル,繊維製品
8131,ミツウロコグループホールディングス,卸売業
8135,ゼット,卸売業
8138,三京化成,卸売業
8139,ナガホリ,卸売業
8143,ラピーヌ,繊維製品
8144,デンキョーグループホールディングス,卸売業
8147,トミタ,卸売業
8152,ソマール,卸売業
8165,千趣会,小売業
8166,タカキュー,小売業
8181,東天紅,小売業
8198,マックスバリュ東海,小売業
8202,ラオックスホールディングス,小売業
8207,テンアライド,小売業
8208,エンチョー,小売業
8209,フレンドリー,小売業
8215,銀座山形屋,小売業
8225,タカチホ,卸売業
8226,理経,卸売業
8230,はせがわ,小売業
8244,近鉄百貨店,小売業
8247,大和,小売業
8254,さいか屋,小売業
8275,フォーバル,卸売業
8260,井筒屋,小売業
8285,三谷産業,卸売業
8289,Olympicグループ,小売業
8291,日産東京販売ホールディングス,小売業
8349,東北銀行,銀行業
8365,富山銀行,銀行業
8383,鳥取銀行,銀行業
8416,高知銀行,銀行業
8508,Jトラスト,その他金融業
8518,日本アジア投資,証券、商品先物取引業
8537,大光銀行,銀行業
8542,トマト銀行,銀行業
8562,福島銀行,銀行業
8563,大東銀行,銀行業
8572,アコム,その他金融業
8596,九州リースサービス,その他金融業
8617,光世証券,証券、商品先物取引業
8699,HSホールディングス,証券、商品先物取引業
8700,丸八証券,証券、商品先物取引業
8704,トレイダーズホールディングス,証券、商品先物取引業
8705,日産証券グループ,証券、商品先物取引業
8732,マネーパートナーズグループ,証券、商品先物取引業
8737,あかつき本社,証券、商品先物取引業
8742,小林洋行,証券、商品先物取引業
8746,UNBANKED,証券、商品先物取引業
8747,豊トラスティ証券,証券、商品先物取引業
8769,アドバンテッジリスクマネジメント,サービス業
8772,アサックス,その他金融業
8783,GFA,その他金融業
8789,フィンテックグローバル,その他金融業
8835,太平洋興発,卸売業
8836,RISE[要曖昧さ回避],不動産業
8841,テーオーシー,不動産業
8844,コスモスイニシア,不動産業
8869,明和地所,不動産業
8871,ゴールドクレスト,不動産業
8886,ウッドフレンズ,不動産業
8887,クミカ,不動産業
8889,APAMAN,不動産業
8890,レーサム,不動産業
8891,AMGホールディングス,不動産業
8894,REVOLUTION,不動産業
8898,センチュリー21・ジャパン,不動産業
8904,AVANTIA,不動産業
8908,毎日コムネット,不動産業
8912,エリアクエスト,不動産業
8914,エリアリンク,不動産業
8917,ファースト住建,不動産業
8918,ランド,不動産業
8920,東祥,サービス業
8927,明豊エンタープライズ,不動産業
8928,穴吹興産,不動産業
8929,青山財産ネットワークス,不動産業
8931,和田興産,不動産業
8940,インテリックス,不動産業
8944,ランドビジネス,不動産業
8945,サンネクスタグループ,不動産業
8946,ASIAN STAR,不動産業
8995,誠建設工業,不動産業
8996,ハウスフリーダム,不動産業
9012,秩父鉄道,陸運業
9017,新潟交通,陸運業
9028,ゼロ,陸運業
9029,ヒガシトゥエンティワン,陸運業
9033,広島電鉄,陸運業
9034,南総通運,陸運業
9036,東部ネットワーク,陸運業
9049,京福電気鉄道,陸運業
9051,センコン物流,陸運業
9057,遠州トラック,陸運業
9059,カンダホールディングス,陸運業
9060,日本ロジテム,陸運業
9063,岡山県貨物運送,陸運業
9067,丸運,陸運業
9073,京極運輸商事,陸運業
9074,日本石油輸送,陸運業
9082,大和自動車交通,陸運業
9083,神姫バス,陸運業
9087,タカセ,陸運業
9115,明海グループ,海運業
9127,玉井商船,海運業
9130,共栄タンカー,海運業
9145,ビーイングホールディングス,陸運業
9160,ノバレーゼ,サービス業
9171,栗林商船,海運業
9173,東海汽船,海運業
9193,東京汽船,倉庫・運輸関連業
9206,スターフライヤー,空運業
9213,セイファート,サービス業
9220,エフビー介護サービス,サービス業
9221,フルハシEPO,サービス業
9232,パスコ,空運業
9233,アジア航測,空運業
9249,日本エコシステム,サービス業
9262,シルバーライフ,小売業
9264,ポエック,卸売業
9265,ヤマシタヘルスケアホールディングス,卸売業
9268,オプティマスグループ,卸売業
9275,ナルミヤ・インターナショナル,小売業
9306,東陽倉庫,倉庫・運輸関連業
9307,杉村倉庫,倉庫・運輸関連業
9308,乾汽船,海運業
9311,アサガミ,倉庫・運輸関連業
9312,ケイヒン,倉庫・運輸関連業
9313,丸八倉庫,倉庫・運輸関連業
9322,川西倉庫,倉庫・運輸関連業
9325,ファイズホールディングス,倉庫・運輸関連業
9327,イー・ロジット,倉庫・運輸関連業
9339,コーチ・エィ,サービス業
9340,アソインターナショナル,サービス業
9351,東洋埠頭,倉庫・運輸関連業
9353,櫻島埠頭,倉庫・運輸関連業
9355,リンコーコーポレーション,倉庫・運輸関連業
9360,鈴与シンワート,情報・通信業
9361,伏木海陸運送,倉庫・運輸関連業
9362,兵機海運,倉庫・運輸関連業
9363,大運,倉庫・運輸関連業
9365,トレーディア,倉庫・運輸関連業
9366,サンリツ,倉庫・運輸関連業
9367,大東港運,倉庫・運輸関連業
9368,キムラユニティー,倉庫・運輸関連業
9369,キユーソー流通システム,倉庫・運輸関連業
9376,ユーラシア旅行社,サービス業
9377,エージーピー,倉庫・運輸関連業
9380,東海運,倉庫・運輸関連業
9385,ショーエイコーポレーション,化学
9408,BSNメディアホールディングス,情報・通信業
9414,日本BS放送,情報・通信業
9417,スマートバリュー,情報・通信業
9419,ワイヤレスゲート,情報・通信業
9421,エヌジェイホールディングス,情報・通信業
9423,フォーバル・リアルストレート,情報・通信業
9425,ReYuu Japan,情報・通信業
9428,クロップス,情報・通信業
9436,沖縄セルラー電話,情報・通信業
9439,エム・エイチ・グループ,サービス業
9441,ベルパーク[要曖昧さ回避],情報・通信業
9444,トーシンホールディングス,情報・通信業
9445,フォーバルテレコム,情報・通信業
9446,サカイホールディングス,情報・通信業
9466,アイドママーケティングコミュニケーション,情報・通信業
9475,昭文社ホールディングス,情報・通信業
9476,中央経済社ホールディングス,情報・通信業
9478,SEホールディングス・アンド・インキュベーションズ,情報・通信業
9479,インプレスホールディングス,情報・通信業
9514,エフオン,電気・ガス業
9537,北陸瓦斯,電気・ガス業
9539,京葉瓦斯,電気・ガス業
9564,FCE,サービス業
9610,ウィルソン・ラーニング ワールドワイド,サービス業
9625,セレスポ,サービス業
9632,スバル興業,サービス業
9633,東京テアトル,サービス業
9635,武蔵野興業,サービス業
9636,きんえい,サービス業
9639,三協フロンテア,サービス業
9640,セゾンテクノロジー,情報・通信業
9647,協和コンサルタンツ,サービス業
9651,日本プロセス,情報・通信業
9656,グリーンランドリゾート,サービス業
9661,歌舞伎座,サービス業
9675,常磐興産,サービス業
9679,ホウライ,サービス業
9685,KYCOMホールディングス,情報・通信業
9686,東洋テック,サービス業
9687,KSK[要曖昧さ回避],情報・通信業
9691,両毛システムズ,情報・通信業
9696,ウィザス,サービス業
9698,クレオ,情報・通信業
9701,東京會舘,サービス業
9704,アゴーラ・ホスピタリティー・グループ,サービス業
9708,帝国ホテル,サービス業
9709,NCS&A,情報・通信業
9713,ロイヤルホテル,サービス業
9720,ホテルニューグランド,サービス業
9723,京都ホテル,サービス業
9726,KNT-CTホールディングス,サービス業
9731,白洋舍,サービス業
9733,ナガセ,サービス業
9753,アイエックス・ナレッジ,情報・通信業
9760,進学会ホールディングス,サービス業
9761,東海リース,サービス業
9763,丸紅建材リース,卸売業
9767,日建工学,サービス業
9768,いであ,サービス業
9776,札幌臨床検査センター,サービス業
9778,昴,サービス業
9780,ハリマビステム,サービス業
9782,ディーエムエス,サービス業
9791,ビケンテクノ,サービス業
9799,旭情報サービス,情報・通信業
9812,テーオーホールディングス,卸売業
9816,ストライダーズ,不動産業
9818,大丸エナウィン,卸売業
9820,エムティジェネックス,不動産業
9823,マミーマート,小売業
9827,リリカラ,卸売業
9828,Genki Global Dining Concepts,小売業
9835,ジュンテンドー,小売業
9845,パーカーコーポレーション,化学
9846,天満屋ストア,小売業
9849,共同紙販ホールディングス,卸売業
9852,CBグループマネジメント,卸売業
9853,銀座ルノアール,小売業
9854,愛眼,小売業
9856,ケーユーホールディングス,小売業
9857,英和,卸売業
9867,ソレキア,卸売業
9872,北恵,卸売業
9876,コックス,小売業
9878,セキド,小売業
9885,シャルレ,卸売業
9888,UEX,卸売業
9890,マキヤ,小売業
9895,コンセック,卸売業
9896,JKホールディングス,卸売業
9903,カンセキ,小売業
9904,ベリテ,小売業
9906,藤井産業,卸売業
9908,日本電計,卸売業
9913,日邦産業,卸売業
9914,植松商会,卸売業
9927,ワットマン,小売業
9929,平和紙業,卸売業
9930,北沢産業,卸売業
9941,太洋物産,卸売業
9950,ハチバン,小売業
9955,ヨンキュウ,卸売業
9959,アシードホールディングス,小売業
9969,ショクブン,小売業
9972,アルテック,卸売業
9973,KOZOホールディングス,小売業
9976,セキチュー,小売業
9978,文教堂グループホールディングス,小売業
9979,大庄,小売業
9980,MRKホールディングス,小売業
9982,タキヒヨー,卸売業
9986,蔵王産業,卸売業
9993,ヤマザワ,小売業
9994,やまや,小売業
9996,サトー商会,卸売業
146A,コロンビア・ワークス,不動産業
160A,アズパートナーズ,サービス業
197A,タウンズ,医薬品
208A,構造計画研究所ホールディングス,情報・通信業
211A,カドス・コーポレーション,建設業
212A,フィットイージー,サービス業
220A,Faber Company,情報・通信業
250A,シマダヤ,食料品
253A,ETSグループ,建設業
254A,AIフュージョンキャピタルグループ,証券、商品先物取引業
255A,ジーエルテクノホールディングス,精密機器
261A,日水コン,サービス業
